# Energy[keV] FM1[cm2] FM2[cm2] FM3[cm2] 
# Fit_model[FM1] Fit_model[FM2] Fit_model[FM3]
# Fit models are for infinite source distance with
#   a correction factor included to match the model to the data
# [Effective areas as measured at SLTF at 104m finite source distance to X-ray node]
 0.10    -NaN    -NaN    -NaN    4.33    4.20    3.75  
 0.25    -NaN    -NaN    -NaN    4.03    3.91    3.49  
 0.40    1.57    1.82    1.35    3.97    3.85    3.44  
 0.56    1.92    1.70    1.23    3.95    3.83    3.42  
 0.71    1.50    1.78    1.16    3.95    3.83    3.42  
 0.87    1.61    1.67    1.29    3.94    3.83    3.42  
 1.02    1.24    1.70    1.20    3.95    3.83    3.42  
 1.17    1.58    1.70    1.57    3.96    3.84    3.42  
 1.33    1.59    1.74    1.52    3.95    3.83    3.42  
 1.48    1.32    1.03    1.03    3.94    3.83    3.42  
 1.63    2.07    1.75    0.91    3.93    3.81    3.40  
 1.79    1.87    1.92    2.01    3.90    3.78    3.37  
 1.94    2.27    2.31    2.73    3.80    3.68    3.29  
 2.10    2.20    2.46    2.20    2.61    2.53    2.26  
 2.25    2.40    2.96    3.10    3.01    2.92    2.61  
 2.40    2.60    3.05    4.32    3.14    3.05    2.72  
 2.56    3.08    2.74    2.23    3.03    2.93    2.62  
 2.71    2.63    3.03    2.72    3.17    3.08    2.75  
 2.86    3.66    3.08    2.95    3.22    3.12    2.79  
 3.02    2.48    2.70    2.62    3.22    3.13    2.79  
 3.17    3.13    2.76    2.84    3.20    3.11    2.77  
 3.33    2.93    2.92    2.48    3.27    3.17    2.83  
 3.48    2.90    3.45    2.18    3.29    3.20    2.85  
 3.63    3.27    2.86    2.80    3.32    3.22    2.87  
 3.79    2.86    3.30    2.74    3.34    3.24    2.89  
 3.94    2.92    3.22    3.00    3.36    3.26    2.91  
 4.09    3.08    2.92    2.62    3.38    3.28    2.92  
 4.25    3.13    3.20    2.55    3.39    3.29    2.94  
 4.40    2.76    3.04    2.41    3.41    3.31    2.95  
 4.55    3.48    2.88    3.05    3.42    3.32    2.96  
 4.71    3.30    3.38    2.88    3.44    3.33    2.98  
 4.86    3.03    3.11    2.52    3.45    3.35    2.99  
 5.02    3.58    3.18    3.21    3.46    3.36    3.00  
 5.17    3.24    3.20    2.86    3.47    3.37    3.01  
 5.32    3.24    3.05    2.71    3.48    3.38    3.01  
 5.48    3.26    3.11    2.69    3.49    3.39    3.02  
 5.63    3.33    3.10    2.85    3.50    3.40    3.03  
 5.78    3.24    3.23    2.76    3.51    3.40    3.04  
 5.94    3.25    3.07    2.79    3.52    3.41    3.05  
 6.09    3.33    2.97    2.84    3.53    3.42    3.05  
 6.25    3.23    2.23    2.75    3.53    3.43    3.06  
 6.40    2.98    3.40    2.62    3.54    3.43    3.06  
 6.55    3.30    4.21    2.79    3.55    3.44    3.07  
 6.71    3.29    3.08    2.90    3.55    3.45    3.08  
 6.86    3.31    2.77    2.85    3.56    3.45    3.08  
 7.01    3.24    3.10    2.84    3.56    3.46    3.09  
 7.17    3.30    4.04    2.82    3.57    3.46    3.09  
 7.32    3.17    3.07    2.78    3.57    3.47    3.09  
 7.48    3.01    2.89    2.68    3.58    3.47    3.10  
 7.63    3.27    3.15    2.86    3.58    3.47    3.10  
 7.78    3.30    3.15    2.80    3.59    3.48    3.10  
 7.94    3.34    3.15    2.85    3.59    3.48    3.11  
 8.09    3.35    3.20    2.88    3.59    3.48    3.11  
 8.24    3.23    2.92    2.80    3.60    3.49    3.11  
 8.40    3.39    3.40    2.99    3.60    3.49    3.11  
 8.55    3.37    3.26    2.89    3.60    3.49    3.12  
 8.70    3.34    3.20    2.93    3.60    3.49    3.12  
 8.86    3.35    3.16    2.88    3.60    3.49    3.12  
 9.01    3.30    3.23    2.79    3.60    3.50    3.12  
 9.17    3.40    3.23    2.89    3.60    3.50    3.12  
 9.32    3.35    3.17    2.88    3.60    3.50    3.12  
 9.47    3.28    3.08    2.84    3.60    3.50    3.12  
 9.63    3.32    3.30    2.88    3.60    3.49    3.12  
 9.78    3.33    3.17    2.87    3.60    3.49    3.12  
 9.93    3.31    3.26    2.90    3.60    3.49    3.12  
10.09    3.32    3.22    2.78    3.60    3.49    3.11  
10.24    3.27    3.22    2.82    3.59    3.49    3.11  
10.40    3.32    3.23    2.86    3.59    3.48    3.11  
10.55    3.28    3.18    2.87    3.58    3.48    3.10  
10.70    3.30    3.13    2.82    3.57    3.47    3.09  
10.86    3.34    3.20    2.86    3.56    3.45    3.08  
11.01    3.16    3.13    2.65    3.54    3.43    3.06  
11.16    2.57    2.45    2.18    3.31    3.21    2.87  
11.32    2.33    2.23    1.90    2.47    2.40    2.14  
11.47    2.34    2.24    1.99    2.55    2.48    2.21  
11.63    2.41    2.29    1.94    2.58    2.51    2.24  
11.78    2.38    2.26    1.96    2.60    2.52    2.25  
11.93    2.37    2.31    1.98    2.61    2.54    2.26  
